person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
22,female,Master,71948,RENT,35000,PERSONAL,0.49,561,No,1
21,female,High School,12282,OWN,1000,EDUCATION,0.08,504,Yes,0
25,female,High School,12438,MORTGAGE,5500,MEDICAL,0.44,635,No,1
23,female,Bachelor,79753,RENT,35000,MEDICAL,0.44,675,No,1
24,male,Master,66135,RENT,35000,MEDICAL,0.53,586,No,1
21,female,High School,12951,OWN,2500,VENTURE,0.19,532,No,1
26,female,Bachelor,93471,RENT,35000,EDUCATION,0.37,701,No,1
24,female,High School,95550,RENT,35000,MEDICAL,0.37,585,No,1
24,female,Associate,100684,RENT,35000,PERSONAL,0.35,544,No,1
21,female,High School,12739,OWN,1600,VENTURE,0.13,640,No,1
22,female,High School,102985,RENT,35000,VENTURE,0.34,621,No,1
21,female,Associate,13113,OWN,4500,HOMEIMPROVEMENT,0.34,651,No,1
23,male,Bachelor,114860,RENT,35000,VENTURE,0.3,573,No,1
26,male,Master,130713,RENT,35000,EDUCATION,0.27,708,No,1
23,female,Associate,138998,RENT,35000,EDUCATION,0.25,583,No,0
23,female,Master,600891,MORTGAGE,30000,DEBTCONSOLIDATION,0.05,670,Yes,0
23,male,Bachelor,144943,RENT,35000,EDUCATION,0.24,663,No,0
23,female,High School,111369,RENT,35000,MEDICAL,0.31,694,No,1
23,male,Bachelor,136628,RENT,35000,DEBTCONSOLIDATION,0.26,709,No,1
24,female,Master,14283,MORTGAGE,1750,EDUCATION,0.12,679,No,1
25,male,Bachelor,195718,RENT,35000,VENTURE,0.18,684,Yes,0
25,male,High School,165792,RENT,34800,PERSONAL,0.21,662,No,0
22,female,Master,79255,RENT,34000,EDUCATION,0.43,691,No,1
24,female,Bachelor,13866,OWN,1500,PERSONAL,0.11,600,Yes,0
22,male,Bachelor,97420,RENT,33950,PERSONAL,0.35,691,No,1
24,female,High School,82443,RENT,33000,HOMEIMPROVEMENT,0.4,654,No,1
21,female,Associate,14288,MORTGAGE,4575,VENTURE,0.32,626,No,1
23,male,High School,14293,OWN,1400,PERSONAL,0.1,607,No,0
24,female,Bachelor,79054,RENT,32500,HOMEIMPROVEMENT,0.41,700,No,1
21,female,Bachelor,14988,OTHER,4000,EDUCATION,0.27,553,No,1
21,male,High School,14858,OWN,2000,MEDICAL,0.13,589,No,1
25,male,Bachelor,144855,RENT,32000,VENTURE,0.22,586,Yes,0
26,male,Bachelor,114645,RENT,31050,HOMEIMPROVEMENT,0.27,681,No,1
25,female,High School,368115,RENT,24250,DEBTCONSOLIDATION,0.07,567,Yes,0
26,female,Associate,361076,MORTGAGE,7800,MEDICAL,0.02,669,No,0
21,male,Associate,15150,OWN,2500,EDUCATION,0.17,600,No,1
22,female,Bachelor,58868,RENT,30000,EDUCATION,0.51,606,No,1
24,male,High School,78026,RENT,30000,DEBTCONSOLIDATION,0.38,582,No,1
25,male,Bachelor,90785,RENT,30000,HOMEIMPROVEMENT,0.33,649,No,1
23,female,High School,86811,RENT,30000,DEBTCONSOLIDATION,0.35,602,No,1
26,male,Bachelor,75503,RENT,30000,MEDICAL,0.4,616,No,1
24,female,High School,15082,OWN,2500,VENTURE,0.17,631,No,1
26,male,Bachelor,361293,MORTGAGE,20000,VENTURE,0.06,684,Yes,0
23,male,High School,361547,OWN,24250,EDUCATION,0.07,637,Yes,0
26,male,Master,360680,OWN,10000,HOMEIMPROVEMENT,0.03,649,No,0
26,male,Bachelor,360977,MORTGAGE,25000,EDUCATION,0.07,695,Yes,0
25,female,Bachelor,361244,MORTGAGE,18000,HOMEIMPROVEMENT,0.05,620,No,0
26,male,Bachelor,98230,RENT,30000,PERSONAL,0.31,622,No,1
22,female,High School,80838,RENT,30000,MEDICAL,0.37,645,No,1
26,male,Master,107957,RENT,30000,DEBTCONSOLIDATION,0.28,654,No,1
24,female,Bachelor,94649,RENT,30000,DEBTCONSOLIDATION,0.32,624,No,1
23,male,High School,94550,RENT,30000,DEBTCONSOLIDATION,0.32,570,No,1
23,male,Bachelor,111153,RENT,30000,PERSONAL,0.27,648,No,1
23,female,Associate,117250,RENT,30000,VENTURE,0.26,652,No,1
25,male,Bachelor,144985,RENT,30000,EDUCATION,0.21,559,No,0
26,male,High School,337133,RENT,10000,PERSONAL,0.03,623,Yes,0
26,male,Associate,333566,RENT,20000,VENTURE,0.06,602,Yes,0
23,male,Bachelor,333399,OWN,35000,PERSONAL,0.1,609,No,0
25,male,Master,154793,RENT,30000,PERSONAL,0.19,573,Yes,0
24,male,Associate,15229,OWN,1750,VENTURE,0.11,631,Yes,0
21,female,Bachelor,158338,RENT,30000,VENTURE,0.19,623,Yes,0
22,female,Bachelor,331034,OWN,12000,VENTURE,0.04,602,Yes,0
26,female,High School,316466,MORTGAGE,10000,EDUCATION,0.03,579,No,1
25,female,Associate,267671,MORTGAGE,25000,MEDICAL,0.09,582,No,1
22,male,Master,85191,RENT,29100,EDUCATION,0.34,700,No,1
22,male,Associate,15013,MORTGAGE,1500,EDUCATION,0.1,688,No,0
26,male,Bachelor,313100,OWN,28000,HOMEIMPROVEMENT,0.09,607,Yes,0
25,female,Bachelor,311952,MORTGAGE,20000,HOMEIMPROVEMENT,0.06,661,Yes,0
24,male,High School,306897,MORTGAGE,9600,EDUCATION,0.03,562,Yes,0
25,female,Bachelor,301136,RENT,25000,MEDICAL,0.08,664,Yes,0
25,male,High School,15162,OWN,3000,MEDICAL,0.2,564,No,1
22,male,Associate,69042,RENT,28000,MEDICAL,0.41,598,No,1
21,female,High School,15307,OWN,3000,EDUCATION,0.2,557,No,1
23,female,Associate,79183,RENT,28000,EDUCATION,0.35,677,No,1
26,male,Bachelor,102654,RENT,28000,VENTURE,0.27,690,No,1
26,male,Associate,15229,OWN,6100,EDUCATION,0.4,599,No,1
22,male,High School,106566,RENT,28000,VENTURE,0.26,604,No,1
21,female,Bachelor,15252,OWN,4200,PERSONAL,0.28,663,No,1
22,male,Bachelor,15432,OWN,4750,DEBTCONSOLIDATION,0.31,601,No,1
24,male,High School,100332,RENT,28000,VENTURE,0.28,634,No,1
24,male,Bachelor,300951,RENT,18000,EDUCATION,0.06,671,No,0
144,male,Bachelor,300616,RENT,4800,VENTURE,0.02,789,No,0
25,female,Bachelor,121062,RENT,28000,DEBTCONSOLIDATION,0.23,622,No,0
26,male,Associate,133372,RENT,28000,EDUCATION,0.21,538,Yes,0
26,male,Bachelor,15505,OWN,2700,DEBTCONSOLIDATION,0.17,587,No,1
22,male,Master,130852,RENT,28000,EDUCATION,0.21,683,No,1
23,male,Associate,182316,RENT,28000,DEBTCONSOLIDATION,0.15,634,Yes,0
24,female,Bachelor,83853,RENT,27600,HOMEIMPROVEMENT,0.33,690,No,1
